latitude,longitude,dots_exten,nearest_location
-39.77208333445213,174.48958333332337,0.138492,"Beach Road, Pātea, South Taranaki District, Taranaki, 4520, New Zealand / Aotearoa"
-39.59791666777835,176.94541666665668,0.131471,"Rotary Pathway, Haumoana, Hastings District, Hawke's Bay, 4102, New Zealand / Aotearoa"
-39.586250001111125,174.1954166666569,0.121175,"Rangatapu Street, Ohawe, South Taranaki District, Taranaki, New Zealand / Aotearoa"
-39.56791666777701,176.92874999999026,1.10677,"Rotary Pathway, Clive, Hastings District, Hawke's Bay, 4102, New Zealand / Aotearoa"
-39.53375000110901,176.91958333332343,0.259979,"Hawkes Bay Trails Great Ride, Napier South, Awatoto, Napier, Napier City, Hawke's Bay, 4140, New Zealand / Aotearoa"
-39.47916667047775,176.89416666325894,0.313279,"23, Whakarire Avenue, Westshore, Napier, Napier City, Hawke's Bay, 4110, New Zealand / Aotearoa"
-39.06791666775666,174.0187499999903,0.195353,"Centennial Drive, Moturoa, New Plymouth, New Plymouth District, Taranaki, 4310, New Zealand / Aotearoa"
-39.05874999815313,174.04499999999007,0.483597,"Lee Breakwater, Lynmouth, New Plymouth, New Plymouth District, Taranaki, 4310, New Zealand / Aotearoa"
-39.05541666775616,174.07208333332323,0.828541,"Puke Ariki Landing, New Plymouth, New Plymouth District, Taranaki, 4310, New Zealand / Aotearoa"
-39.04958333442266,174.09041666665678,0.500877,"Coastal Walkway, East End, Strandon, New Plymouth, New Plymouth District, Taranaki, 4312, New Zealand / Aotearoa"
-39.04875000108939,177.4304166666567,0.202675,"Wairoa Riverside Walkway, Wairoa, Wairoa District, Hawke's Bay, 4108, New Zealand / Aotearoa"
-39.03625000108889,174.10791666665682,0.324303,"Coastal Walkway, Fitzroy, New Plymouth, New Plymouth District, Taranaki, 4312, New Zealand / Aotearoa"
-39.01875000108811,174.14541666665707,0.160131,"Walkway to Bell Block Beach, Bell Block, New Plymouth, New Plymouth District, Taranaki, 4312, New Zealand / Aotearoa"
-38.99541666490046,174.1833333333234,0.120989,"Brown Road, New Plymouth, New Plymouth District, Taranaki, 4373, New Zealand / Aotearoa"
-38.987916667753495,174.22958333332326,0.239999,"14B, East Beach, Waitara, New Plymouth District, Taranaki, 4346, New Zealand / Aotearoa"
-38.71000000333464,177.93583333719357,0.104636,"Gisborne District, Gisborne, New Zealand / Aotearoa"
-38.6745833344076,178.02291666665678,0.617042,"Awapuni Road, Victoria, Gisborne, Gisborne District, Gisborne, 4020, New Zealand / Aotearoa"
-38.34875000106132,142.36874999999156,0.110947,"Walking and Bridle Path, Illowa, Shire of Moyne, Victoria, 3282, Australia"
-38.34791666772799,141.61541666665823,0.116891,"R B Anderson Road, Portland, Shire of Glenelg, Victoria, 3305, Australia"
-38.07291666771715,145.12041666665823,0.338561,"Dandenong Creek Trail, Carrum, Melbourne, City of Kingston, Victoria, 3197, Australia"
-38.063750001050096,147.45874999999126,0.19372,"Hollands Landing, Shire of Wellington, Victoria, Australia"
-38.0112500010481,145.08541666665815,4.33865,"221, Beach Road, Mordialloc, Melbourne, City of Kingston, Victoria, 3195, Australia"
-38.00125000104765,144.61291666665807,0.202907,"Eighty Five West B Lagoon South Six Road, Melbourne, City of Wyndham, Victoria, Australia"
-37.9920833343806,177.27624999999,0.246314,"Snell Road, Ōpōtiki, Ōpōtiki District, Bay of Plenty, 3122, New Zealand / Aotearoa"
-37.94291666771204,177.00541666665663,0.835071,"Wairaka Statue, Muriwai Drive, Whakatāne, Whakatāne District, Bay of Plenty, 3158, New Zealand / Aotearoa"
-37.90958333437743,176.88041666665674,0.270435,"Thornton Beach Road, Thornton, Whakatāne District, Bay of Plenty, New Zealand / Aotearoa"
-37.89041666771004,176.78874999999005,0.364923,"1432D, Thornton Road, Whakatāne District, Bay of Plenty, 3194, New Zealand / Aotearoa"
-37.87208333437599,144.82041666665782,0.178359,"255, Esplanade, Altona, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
-37.77625000103888,176.48874999998986,0.167795,"Cutwater Road, Western Bay of Plenty District, Bay of Plenty, 3189, New Zealand / Aotearoa"
-37.74875000103776,176.41791666665677,1.40976,"4WD Track, Maketu, Western Bay of Plenty District, Bay of Plenty, 3189, New Zealand / Aotearoa"
-37.72375000103676,176.1529166666567,0.228067,"81, Esk Street, Merivale, Gate Pa, Tauranga City, Bay of Plenty, 3112, New Zealand / Aotearoa"
-37.72041666770332,176.18291666665664,0.148702,"20, Fantail Drive, Maungatapu, Tauranga City, Bay of Plenty, 3112, New Zealand / Aotearoa"
-37.6787500010351,176.1195833333231,0.188227,"92/East Coast Main Trunk, Princess Road, Saint Michaels, Bellevue, Tauranga City, Bay of Plenty, 3110, New Zealand / Aotearoa"
-37.67375000103493,176.17208333332314,0.69369,"Hikuwai Place, Tauranga Central, Tauranga City, Bay of Plenty, 3110, New Zealand / Aotearoa"
-37.67208333436821,176.1212499999899,0.118515,"16, Bay Street, Matua, Tauranga City, Bay of Plenty, 3110, New Zealand / Aotearoa"
-37.343750001022215,174.77374999999006,2.56115,"Tuakau Bridge - Port Waikato Road, Te Kohanga, Waikato District, Waikato, 2682, New Zealand / Aotearoa"
-37.18458333434944,175.56124999998997,0.536852,"Hauraki Rail Trail, Kopu, Thames, Thames-Coromandel District, Waikato, 3500, New Zealand / Aotearoa"
-37.18125000101583,175.49874999998997,0.330453,"Ōrongo, Hauraki District, Waikato, 3500, New Zealand / Aotearoa"
-37.07125000101172,174.90291666665712,0.506251,"Auckland, 2580, New Zealand / Aotearoa"
-37.059583334344666,174.92291666665676,0.146072,"Pahurehure Inlet Bridge Number 2, Auckland Southern Motorway, Longford Park, Conifer Grove, Papakura, Auckland, 2112, New Zealand / Aotearoa"
-37.04791666767744,174.8712499999899,0.301369,"Turnberry Drive, Weymouth, Auckland, 2103, New Zealand / Aotearoa"
-37.04375000101072,174.90624999999,0.431497,"42, Keywella Drive, Waiata Shores, Conifer Grove, Auckland, 2112, New Zealand / Aotearoa"
-37.02125000100983,174.8379166666566,1.51429,"Harbour Ridge Drive, Auckland, 2242, New Zealand / Aotearoa"
-37.005416667675945,174.8104166666567,0.103112,"Puhinui Road Shared Path, Auckland, 2022, New Zealand / Aotearoa"
